Actual,Linear_Pred,Ridge_Pred,Lasso_Pred,Poly_Pred,Linear_Error,Ridge_Error,Lasso_Error,Poly_Error
9.1,8.96979046258279,8.971619943029335,8.628626631653798,11.21635313940947,0.13020953741721009,0.12838005697066457,0.47137336834620136,-2.116353139409471
5.27,7.069079299251424,7.071308171377737,7.171214944691847,6.055392257513281,-1.7990792992514244,-1.8013081713777375,-1.9012149446918478,-0.7853922575132817
29.33,36.85858191544654,36.8466593068479,36.36605021823178,33.3060915765687,-7.528581915446544,-7.516659306847899,-7.036050218231779,-3.976091576568699
9.3,9.455076956070748,9.458160636615268,9.432913895197,10.834945903602474,-0.15507695607074723,-0.1581606366152677,-0.13291389519699948,-1.5349459036024733
33.75,26.9732556106137,26.962898062993293,26.475965036469663,29.082558878183107,6.776744389386302,6.787101937006707,7.274034963530337,4.667441121816893
4.54,10.863749711672309,10.866786332257483,11.205617986006597,4.2581941898087745,-6.323749711672309,-6.326786332257483,-6.665617986006597,0.2818058101912255
2.12,0.1708083056877605,0.17353058854188674,0.37938054908460295,2.803930042386371,1.9491916943122396,1.9464694114581134,1.7406194509153972,-0.683930042386371
14.21,16.90336783613986,16.905680397313404,16.903832076932794,16.036260729641555,-2.69336783613986,-2.695680397313403,-2.693832076932793,-1.8262607296415538
3.73,1.092740055985244,1.0949663487245402,0.9873237911755304,4.107731696450781,2.637259944014756,2.6350336512754597,2.7426762088244696,-0.37773169645078086
10.26,11.218678737488794,11.22164018412585,11.157865858406748,12.148605099442385,-0.9586787374887944,-0.9616401841258497,-0.8978658584067478,-1.888605099442385
18.26,28.101683463211167,28.091629078634792,27.93975910864251,20.028605946924472,-9.841683463211165,-9.83162907863479,-9.679759108642507,-1.7686059469244704
7.26,9.378000410722073,9.381023777650643,9.363013273103423,9.33781135376455,-2.1180004107220736,-2.1210237776506435,-2.1030132731034232,-2.0778113537645506
3.95,5.263221635278249,5.266602283700788,5.601702474037687,5.818949869821365,-1.313221635278249,-1.3166022837007878,-1.6517024740376867,-1.868949869821365
46.15,38.41576942359035,38.40577171532266,37.868173422573236,49.4967285286775,7.734230576409651,7.744228284677341,8.281826577426763,-3.3467285286775024
48.67,40.25532280894327,40.24492662234782,39.90035058811529,53.113612754728166,8.414677191056732,8.425073377652183,8.769649411884714,-4.443612754728164
44.2,37.09797002522236,37.08797443542666,36.65365472124982,45.43026101177686,7.102029974777643,7.112025564573344,7.546345278750181,-1.2302610117768538
9.8,15.240317960456348,15.243078106532042,15.339022200842745,10.241072443555487,-5.440317960456348,-5.443078106532042,-5.539022200842744,-0.4410724435554858
42.97,35.91274345282474,35.90194631357137,35.54031062592803,41.67446671979763,7.057256547175257,7.068053686428627,7.42968937407197,1.2955332802023705
8.23,9.1126489079927,9.115732392390953,9.455576350656017,10.0810735850298,-0.8826489079926993,-0.8857323923909526,-1.2255763506560164,-1.8510735850298001
21.77,31.462171358765836,31.450657109930365,30.987467857627156,25.74673554682549,-9.692171358765837,-9.680657109930365,-9.217467857627156,-3.9767355468254912
5.08,3.8479584007520753,3.8517919564401257,4.181084428910566,3.4572219575712158,1.2320415992479248,1.2282080435598743,0.8989155710894341,1.6227780424287843
7.44,10.12996964852287,10.133107155441845,10.528139327539492,8.194963309758887,-2.6899696485228697,-2.6931071554418446,-3.0881393275394915,-0.7549633097588861
1.26,2.3703873154063047,2.373934408766887,2.9405545338527137,1.9590627162068763,-1.1103873154063046,-1.1139344087668872,-1.6805545338527137,-0.6990627162068763
2.76,7.1401529542571645,7.142007419884493,6.763817713498987,5.462149803535379,-4.380152954257165,-4.382007419884493,-4.003817713498988,-2.702149803535379
11.09,11.302280112145208,11.304435232945206,11.228843720626713,12.889469302856698,-0.21228011214520848,-0.21443523294520617,-0.13884372062671346,-1.7994693028566981
10.92,12.961595107478367,12.962981899637914,12.645438897524297,12.399280393941801,-2.0415951074783667,-2.0429818996379137,-1.7254388975242971,-1.479280393941801
12.64,14.509251392389519,14.511099990153397,14.968231381059162,14.240605751318986,-1.8692513923895184,-1.8710999901533967,-2.3282313810591617,-1.6006057513189855
18.8,6.160456780102713,6.163009683582789,6.078595850247424,8.095003702900097,12.639543219897288,12.636990316417211,12.721404149752576,10.704996297099903
9.72,9.964066254610835,9.965825925845667,9.603735339090587,11.95133548803326,-0.24406625461083387,-0.24582592584566676,0.11626466090941356,-2.2313354880332597
1.13,2.1778139978999995,2.182143441532169,2.5999794100782108,3.186679837215438,-1.0478139978999996,-1.052143441532169,-1.4699794100782109,-2.0566798372154382
15.83,9.116159342215582,9.118732381299491,9.413916065534998,8.780703760684554,6.713840657784418,6.711267618700509,6.416083934465002,7.049296239315446
11.84,13.073910299949034,13.075691649758287,13.13609014518315,12.491219393815394,-1.2339102999490343,-1.2356916497582873,-1.2960901451831504,-0.6512193938153938
2.02,4.561856937750928,4.565226171599534,4.904727893619103,3.1337912435898723,-2.541856937750928,-2.5452261715995337,-2.8847278936191034,-1.1137912435898722
5.69,3.4089384243427343,3.411659721288901,3.45263779114026,7.080570970132598,2.281061575657266,2.2783402787110996,2.2373622088597402,-1.3905709701325977
2.9,4.459706268257275,4.463178341970721,4.966508116268269,3.6497326350365897,-1.5597062682572749,-1.5631783419707213,-2.066508116268269,-0.7497326350365898
7.45,13.031745158298182,13.033951620012644,12.654646013208819,8.702775741935628,-5.581745158298182,-5.583951620012644,-5.204646013208818,-1.2527757419356282
2.6,1.9801386894340087,1.982986852546885,2.516555748509676,3.8971808389653333,0.6198613105659914,0.6170131474531151,0.0834442514903242,-1.2971808389653332
7.34,8.813283811213008,8.815628230389567,9.288117000884835,8.673966986830166,-1.4732838112130082,-1.4756282303895674,-1.9481170008848352,-1.3339669868301662
23.89,33.271622459110844,33.26004539496428,32.76072575148413,24.87538115187153,-9.381622459110844,-9.37004539496428,-8.87072575148413,-0.985381151871529
38.71,32.58527268899021,32.575519726015486,32.25847111262894,36.937777584112595,6.124727311009792,6.134480273984515,6.451528887371062,1.7722224158874056
4.69,3.909141708021318,3.912190716154056,4.170981707144755,5.239336303552749,0.7808582919786824,0.7778092838459445,0.5190182928552458,-0.5493363035527485
2.64,4.326365296390126,4.329689220587856,4.380517808056208,4.8097853265010775,-1.6863652963901257,-1.6896892205878555,-1.7405178080562078,-2.1697853265010774
11.67,14.142661643325038,14.144625257798545,14.534129873950306,13.046143461625203,-2.472661643325038,-2.474625257798545,-2.864129873950306,-1.3761434616252028
12.12,11.423609328933967,11.42628913412564,11.580882385740601,13.140440667994001,0.6963906710660321,0.69371086587436,0.5391176142593981,-1.0204406679940021
4.89,8.77407482996847,8.778095712719487,8.99007996200962,6.759155484630636,-3.88407482996847,-3.8880957127194877,-4.10007996200962,-1.8691554846306362
12.33,12.097092404592836,12.099977011871392,12.606526167062729,14.046146053490615,0.23290759540716444,0.23002298812860822,-0.2765261670627286,-1.7161460534906148
3.58,5.282032116731575,5.284579192478496,5.227994454492116,6.466306980513695,-1.7020321167315746,-1.704579192478496,-1.6479944544921157,-2.8863069805136945
4.39,3.1508597327233865,3.153780519289562,3.5849724467052546,5.328114546776758,1.2391402672766132,1.2362194807104379,0.8050275532947451,-0.9381145467767587
42.12,35.494314885829894,35.48451393965394,35.027478575701025,39.9606182632932,6.625685114170103,6.635486060346061,7.0925214242989725,2.1593817367067984
4.46,9.15000906837183,9.15401156322568,9.335348204234514,6.01220503731488,-4.69000906837183,-4.69401156322568,-4.8753482042345135,-1.55220503731488
13.89,15.83669535579056,15.839216843823586,16.126379463048828,15.370760823656623,-1.9466953557905597,-1.949216843823585,-2.236379463048827,-1.480760823656622
1.72,2.343611667709892,2.348010239397114,2.7128902938482327,4.006373638962191,-0.623611667709892,-0.6280102393971141,-0.9928902938482327,-2.286373638962191
